OTU	MQ210406-101	MQ210406-102	MQ210406-103	MQ210406-104	MQ210406-105	MQ210406-106	MQ210406-107	MQ210406-113	MQ210406-116	MQ210406-119	MQ210406-12	MQ210406-137	MQ210406-13	MQ210406-140	MQ210406-159	MQ210406-160	MQ210406-19	MQ210406-1	MQ210406-20	MQ210406-21	MQ210406-22	MQ210406-23	MQ210406-24	MQ210406-31	MQ210406-32	MQ210406-33	MQ210406-34	MQ210406-35	MQ210406-36	MQ210406-37	MQ210406-38	MQ210406-39	MQ210406-40	MQ210406-41	MQ210406-48	MQ210406-49	MQ210406-50	MQ210406-51	MQ210406-52	MQ210406-53	MQ210406-54	MQ210406-55	MQ210406-56	MQ210406-57	MQ210406-58	MQ210406-59	MQ210406-60	MQ210406-61	MQ210406-62	MQ210406-63	MQ210406-66	MQ210406-67	MQ210406-68	MQ210406-69	MQ210406-75	MQ210406-78	MQ210406-81	MQ210406-82	MQ210406-83	MQ210406-84	MQ210406-86	MQ210406-87	MQ210406-89	MQ210406-90	MQ210406-91	MQ210406-92	MQ210406-93	MQ210406-94	MQ210406-9	Kingdom	Phylum	Class	Order	Family	Genus	Species
Zotu31	11	3	10	7	6	0	3	0	0	0	7	0	0	0	0	0	0	14	5	15	0	10	9	8	2	10	4	2	10	5	17	2	3	2	2	8	3	8	7	57	5	1	6	11	3	12	12	11	7	25	11	5	10	5	0	0	9	4	3	9	13	14	14	12	12	0	0	0	3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
Zotu32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	d__Archaea	p__Crenarchaeota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrososphaeraceae	g__	s__
Zotu33	31	10	21	27	6	1	6	0	0	0	9	0	2	0	0	0	0	35	5	28	0	39	17	8	1	12	5	8	15	4	18	4	4	2	7	34	7	10	12	105	12	4	21	27	14	18	20	16	6	48	17	20	23	19	0	0	26	12	15	8	39	32	28	25	25	0	0	0	6	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
Zotu34	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	1	1	1	0	0	0	4	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
Zotu35	154	0	5	31	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	6	9	19	0	3	0	0	0	3	4	3	0	0	0	2	0	0	0	122	0	0	5	0	4	5	14	4	2	110	11	3	13	11	0	0	6	0	9	0	84	55	10	7	3	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu36	15	9	9	8	3	3	2	0	0	0	7	0	6	0	0	0	0	20	1	9	0	11	9	7	4	10	2	2	8	9	13	3	2	2	2	17	5	4	5	34	8	4	13	16	5	8	13	18	6	17	5	8	13	5	0	0	22	4	6	6	15	10	11	17	16	0	0	0	4	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__	s__
Zotu37	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu38	171	0	8	30	3	0	0	0	0	0	1	0	2	0	0	0	0	1	0	2	0	7	8	13	0	1	0	0	0	2	3	6	1	0	0	1	0	0	0	137	0	0	3	2	4	4	8	2	1	105	11	4	7	5	0	0	4	2	6	3	67	61	10	5	2	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu39	24	0	22	39	4	0	0	0	0	0	6	0	10	0	0	0	0	2	4	6	0	1	54	67	0	0	0	0	0	8	12	7	3	0	0	1	0	0	0	92	0	0	6	3	12	6	21	6	17	58	20	5	20	8	0	0	17	1	17	2	26	42	15	10	6	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
Zotu40	7	0	11	11	1	0	0	0	0	0	1	0	0	0	0	0	0	2	3	2	0	0	18	27	0	1	0	0	0	2	0	2	0	0	0	2	0	0	0	31	0	0	0	2	6	3	11	0	8	20	7	3	7	6	0	0	2	0	15	1	10	21	7	1	4	0	0	0	0	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Frankiales	f__Acidothermaceae	g__Acidothermus	s__
